"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Location Sales Volume Actual"
"2 Paws 4 U Pet Bakery & Treats","NPM FRANCHISING LLC","Carol","Burd","1504 Essington Rd","Joliet","IL","60435","","Verified","$767,000"
"222 Artisan Bakery & Cafe","","Kim","Goodner","222 N Main St","Edwardsville","IL","62025","LIVING THE DREAM LLC","Closed/Out of Business","$813,000"
"A Piece Of Cake Romer's Bakery","","David","Romer","200 N Washington Ave # 1","Bradley","IL","60915","","Unverified","$517,000"
"ABC Bakery & Deli Inc","","","","2340 S River Rd # 208","Des Plaines","IL","60018","ABC BAKERY & DELI INC","Unverified","$536,000"
"Ai-Amal Bakery & Grocery","","","","7289 W 87th St","Bridgeview","IL","60455","","Verified","$512,000"
"Al Sham Supermarket & Bakery","","","","1217 S Main St","Lombard","IL","60148","","Unverified","$516,000"
"Al-Khyam Bakery & Grocery","","George","Mounsef","4746 N Kedzie Ave","Chicago","IL","60625","","Unverified","$767,000"
"Aljoud Market LLC","","","","10602 Ridgeland Ave","Chicago Ridge","IL","60415","ALJOUD MARKET & BAKERY INC","Unverified","$512,000"
"All About The Sweets Bakery","","","","802 Plum St","Lebanon","IL","62254","","Verified","$726,000"
"Alliance Bakery","","Peter","Rios","1736 W Division St # 1","Chicago","IL","60622","ALLIANCE BAKERY LLC","Verified","$910,000"
"Andresen's Bakery","","John","Naquin","519 W Hillside Dr # 2","Bensenville","IL","60106","","Unverified","$940,000"
"Ann's Bakery Inc","","Walter","Siry","2158 W Chicago Ave","Chicago","IL","60622","ANN'S BAKERY INC","Verified","$546,000"
"Artopolis Bakery Cafe & Agora","","Andre","Papantoniou","306 S Halsted St # 1","Chicago","IL","60661","","Verified","$536,000"
"Astoria Cafe & Bakery-Lisle","","","","1107 Maple Ave","Lisle","IL","60532","","Verified","$594,000"
"Aztec Bakery","","","","302 W North Ave","Villa Park","IL","60181","","Verified","$501,000"
"Azteca Bakery","","Claudia","Ganzilaz","350 Lake Marian Rd","Carpentersville","IL","60110","","Verified","$674,000"
"Azteca Bakery","","","","1902 S Elmhurst Rd","Mount Prospect","IL","60056","","Verified","$910,000"
"Azteca Bakery-Streamwood","","Alfredo","Sanchey","915 E Irving Park Rd","Streamwood","IL","60107","","Verified","$910,000"
"Bakewell Bakery Inc","","","","1050 Sterling Ave","Flossmoor","IL","60422","BAKEWELL BAKERY INC","Verified","$607,000"
"Beverly Bakery","","James","Quigley","10528 S Western Ave","Chicago","IL","60643","","Verified","$607,000"
"Bleeding Heart Bakery","","Michelle","Garcia","1351 W Belmont Ave","Chicago","IL","60657","BLEEDING HEART LLC","Unverified","$607,000"
"Bloom Cafe & Bakery LLC","","","","5504 Arrowwood Ln","Rolling Meadows","IL","60008","BLOOM CAFE & BAKERY LLC","Unverified","$596,000"
"Blue Star Bakery & Cafe","","","","3435 N Southport Ave","Chicago","IL","60657","","Closed/Out of Business","$596,000"
"Burless Bakery","","Shirley","Burless","913 Bluegrass Ln","Plano","IL","60545","","Unverified","$508,000"
"By The Dozen Bakery","","Brent","Nelson","8324 N 2nd St","Machesney Park","IL","61115","BY THE DOZEN BAKERY INC","Verified","$749,000"
"C & C Bakery Inc","","John","Bottigliero","1836 N New England Ave","Chicago","IL","60707","C & C BAKERY INC","Unverified","$575,000"
"Cake Box Bakery & Cafe","","Ed","Leech","2724 Sheridan Rd","Zion","IL","60099","","Verified","$561,000"
"Caleri's Cafe & Bakery","","Caleb","Leman","112 S Main St","Eureka","IL","61530","","Verified","$741,000"
"Caleri's Cafe & Bakery","","Caleb","Leman","321 N Main St","Roanoke","IL","61561","CALERI'S CAFE & BAKERY LLC","Verified","$593,000"
